date,ret_net_10bps,equity
2015-03-18,,1.0
2015-03-19,-0.0015284749368013884,0.9984715250631986
2015-03-20,0.006295492873656794,1.0047573954337832
2015-03-23,-0.0015979515767306674,1.003151841769518
2015-03-24,-0.0021836508735952292,1.0009613083738893
2015-03-25,-0.015476333281892834,0.9854700975632156
2015-03-26,-0.004182261245958374,0.9813486041651261
2015-03-27,0.003977646793767956,0.9852520622940523
2015-03-30,0.008178383132692186,0.9933098311417682
2015-03-31,-0.007037760402332887,0.9863191545449107
2015-04-01,-0.0016808877148966075,0.9846612627950689
2015-04-02,0.00010471718069881273,0.9847643737464521
2015-04-06,0.0049304479059923256,0.9896197031908862
2015-04-07,-0.0005386984851739131,0.9890865965558789
2015-04-08,0.004462152734116577,0.9935000520169789
2015-04-09,0.002452766351001377,0.9959368755142843
2015-04-10,0.0037124624629818375,0.9996342537801305
2015-04-13,-0.002396915676356343,0.9972382147666221
2015-04-14,0.00032527982972805963,0.9975625962433197
2015-04-15,0.00399324964251879,1.0015461127241585
2015-04-16,-0.00129310786193523,1.0002510055717042
2015-04-17,-0.008929531657877111,0.9913192325516282
2015-04-20,0.008129937672306837,0.999378596125632
2015-04-21,0.0007323999940994047,1.0001105410035374
2015-04-22,0.0027561568294246722,1.002867002501304
2015-04-23,0.00368448818595077,1.0065620541241
2015-04-24,0.006365081876297203,1.0129689040121739
2015-04-27,-0.0018358284636786485,1.011109266865367
2015-04-28,-0.00025292431463440975,1.0108535327470245
2015-04-29,-0.004561043327672667,1.0062429859862343
2015-04-30,-0.009895249061897008,0.9962859610231136
2015-05-01,0.008115153814182137,1.0043709748397265
2015-05-04,0.001332093126255768,1.0057088905115212
2015-05-05,-0.003675495397395219,1.0020124121133267
2015-05-06,-0.003557983769855622,0.9984472682138336
2015-05-07,0.0008052992163737531,0.9992513170165168
2015-05-08,0.004193101140542332,1.0034412788535871
2015-05-11,-0.004197655324535428,0.9992291782265488
2015-05-12,0.0007169515740851582,0.9999455771587502
2015-05-13,0.0006983703330596593,1.000643909484512
2015-05-14,0.004824496858158317,1.0054715128819554
2015-05-15,0.0021290149182507994,1.0076121767327573
2015-05-18,-0.0009190041769233798,1.006686176933621
2015-05-19,-0.005397387031287577,1.0012527020176631
2015-05-20,0.0003323921340014346,1.0015855105399616
2015-05-21,0.0032256519491217724,1.004816276794247
2015-05-22,-0.0013756528354208202,1.003433998433998
2015-05-26,-0.004864813731248167,0.998552478940015
2015-05-27,0.005064552755095678,1.0036097006483382
2015-05-28,-0.0009477409670094208,1.0026585386201456
2015-05-29,-0.001672905371808313,1.0009811857647986
2015-06-01,-0.0002122055407909379,1.0007687720109517
2015-06-02,-0.0026277955210378444,0.9981389563142667
2015-06-03,-0.000858801872997745,0.997281752709072
2015-06-04,-0.00097866805264969,0.9963057449182052
2015-06-05,-0.002200535376320043,0.9941133388808818
2015-06-08,-0.0033160383181047286,0.9908168209566138
2015-06-09,4.1681895438438414e-05,0.9908581200797437
2015-06-10,0.0002379940274455849,0.9910939383943685
2015-06-11,0.0003697831197575817,0.9914604282028808
2015-06-12,-0.0005169856406000903,0.9909478573982767
2015-06-15,-1.5791352888488178e-05,0.9909322089909665
2015-06-16,0.00029646027002900444,0.9912259810212244
2015-06-17,0.0001466915649463504,0.9913713855115959
2015-06-18,0.00017976466273118548,0.9915495990543538
2015-06-19,0.00016082834954958542,0.9917090683398663
2015-06-22,-0.0012658778151094854,0.990453685831212
2015-06-23,-0.0006423020111740532,0.9898175154368277
2015-06-24,-0.0013479446607464218,0.9884832962017814
2015-06-25,-0.0010679228694468231,0.9874276722837014
2015-06-26,-0.003755346807167196,0.9837195389272824
2015-06-29,-0.007198472002182091,0.9766382613683149
2015-06-30,0.0002488844288186426,0.976881331424158
2015-07-01,-0.0011615420965338922,0.9757466426343908
2015-07-02,0.00014685547306856722,0.97588993636919
2015-07-06,-0.0006127001097533133,0.9752920084980694
2015-07-07,0.0008176890420447311,0.9760894940862122
2015-07-08,-0.002222520329327914,0.9739201153423621
2015-07-09,-0.0014881321171283535,0.9724707935392037
2015-07-10,0.0015219494749631668,0.9739508449528478
2015-07-13,0.0028076571562460515,0.9766853650125116
2015-07-14,-5.18030007678898e-05,0.9766347697797978
2015-07-15,0.00044291472329381425,0.9770673356986139
2015-07-16,0.0002915573745672315,0.9773522068857856
2015-07-17,0.00021950051105268866,0.9775667361946756
2015-07-20,-0.00035401722683361155,0.9772206607296832
2015-07-21,0.00023032692305638807,0.9774457409576162
2015-07-22,0.0002662600931798794,0.9777059957516819
2015-07-23,0.0005359694207014783,0.9782300162678413
2015-07-24,0.00019507785184544996,0.9784208472780255
2015-07-27,0.0001464551021667458,0.9785641420031758
2015-07-28,-0.000319888229902754,0.978251110851944
2015-07-29,-0.00016176754201841642,0.9780928615742647
2015-07-30,0.0003344154570197494,0.9784199509455758
2015-07-31,0.00023752768137582432,0.9786523527679356
2015-08-03,0.0005494615584933828,0.9791900846149106
2015-08-04,-0.001150743456687069,0.9780632880321871
2015-08-05,-0.0008529798336376446,0.9772290197714744
2015-08-06,0.0010947704830074623,0.9782988612574586
2015-08-07,0.0016302266065415334,0.9798937100902297
2015-08-10,-0.0017149449835520184,0.9782132462876962
2015-08-11,0.0020543603198115226,0.9802228487651837
2015-08-12,-0.0007667281652017256,0.9794712842988612
2015-08-13,-0.00040453461254740756,0.9790750542623661
2015-08-14,0.00029342971316281027,0.979362343974703
2015-08-17,0.000566390638826116,0.979917045638349
2015-08-18,-0.0009907161623671818,0.9789462259834559
2015-08-19,0.0012346224958793154,0.9801548550163112
2015-08-20,0.0014314281258899872,0.9815578762435092
2015-08-21,0.0003051016618723156,0.981857351182775
2015-08-24,0.0001176843748287785,0.9819729004513199
2015-08-25,-0.003347074877678454,0.9786861636256582
2015-08-26,-0.0037394154742755544,0.975026449440937
2015-08-27,0.00011569793544993258,0.9751392579881464
