date,QQQ,SHV,TLT,DBC,GLD,SPY,TIP
2015-01-02,94.56112670898438,88.14601135253906,93.02373504638672,15.412325859069824,114.08000183105469,169.68783569335938,83.27535247802734
2015-01-05,93.17406463623047,88.14601135253906,94.48500061035156,15.192512512207031,115.80000305175781,166.62330627441406,83.34185028076172
2015-01-06,91.92474365234375,88.1540298461914,96.18739318847656,15.048788070678711,117.12000274658203,165.0539093017578,83.3492660522461
2015-01-07,93.10975646972656,88.1540298461914,95.99744415283203,14.955793380737305,116.43000030517578,167.11062622070312,83.41574096679688
2015-01-08,94.89183044433594,88.1540298461914,94.72612762451172,15.014972686767578,115.94000244140625,170.07608032226562,83.28278350830078
2015-01-09,94.26720428466797,88.16199493408203,95.76361846923828,14.989607810974121,117.26000213623047,168.71316528320312,83.53392791748047
2015-01-12,93.28428649902344,88.17801666259766,96.31157684326172,14.65988826751709,118.55999755859375,167.3915557861328,83.51178741455078
2015-01-13,93.25670623779297,88.16999053955078,96.31157684326172,14.600707054138184,118.16000366210938,166.92071533203125,83.37884521484375
2015-01-14,92.74231719970703,88.16999053955078,97.04219818115234,14.76133918762207,117.97000122070312,165.91297912597656,83.8737564086914
2015-01-15,91.5389175415039,88.17801666259766,98.56922912597656,14.55843448638916,120.94000244140625,164.3931121826172,84.53862762451172
2015-01-16,92.61367797851562,88.17801666259766,97.31248474121094,14.837430000305176,122.5199966430664,166.54898071289062,84.0657958984375
2015-01-20,93.34858703613281,88.17801666259766,98.60574340820312,14.634525299072266,124.19999694824219,166.90419006347656,84.2652359008789
2015-01-21,93.82628631591797,88.16999053955078,97.46593475341797,14.727522850036621,124.2300033569336,167.74668884277344,83.91809844970703
2015-01-22,95.56242370605469,88.17801666259766,97.11527252197266,14.710612297058105,125.2300033569336,170.2412567138672,83.94023132324219
2015-01-23,95.77371215820312,88.17801666259766,98.46693420410156,14.617615699768066,124.2300033569336,169.30792236328125,84.44996643066406
2015-01-26,95.66345977783203,88.16999053955078,98.16742706298828,14.566888809204102,122.98999786376953,169.70436096191406,84.3095932006836
2015-01-27,93.18325805664062,88.16999053955078,98.3208236694336,14.642979621887207,124.4000015258789,167.4658660888672,84.5755386352539
2015-01-28,92.70555114746094,88.16199493408203,99.92819213867188,14.431620597839355,123.41999816894531,165.31825256347656,84.90056610107422
2015-01-29,93.59662628173828,88.18594360351562,99.27061462402344,14.363985061645508,120.76000213623047,166.84634399414062,84.8045654296875
2015-01-30,92.87088775634766,88.16999053955078,101.03147888183594,14.710612297058105,123.44999694824219,164.748291015625,85.41769409179688
2015-02-02,93.67930603027344,88.18594360351562,100.65003204345703,14.913519859313965,122.41999816894531,166.78851318359375,85.35857391357422
2015-02-03,94.57950592041016,88.19398498535156,98.51957702636719,15.327783584594727,121.05000305175781,169.20053100585938,84.9670639038086
2015-02-04,94.49685668945312,88.17801666259766,98.68792724609375,14.989607810974121,121.58000183105469,168.55618286132812,85.14434814453125
2015-02-05,95.31440734863281,88.17801666259766,97.60447692871094,15.192512512207031,121.79000091552734,170.25778198242188,84.77498626708984
2015-02-06,94.73567962646484,88.17801666259766,95.87669372558594,15.234786033630371,118.63999938964844,169.78700256347656,84.1101303100586
2015-02-09,94.43255615234375,88.17801666259766,95.722900390625,15.386964797973633,119.16999816894531,169.0270538330078,83.96241760253906
2015-02-10,95.90232849121094,88.16999053955078,94.96159362792969,15.192512512207031,118.47000122070312,170.8277587890625,83.68167114257812
2015-02-11,96.25138092041016,88.17801666259766,95.13723754882812,15.074152946472168,117.06999969482422,170.9268798828125,83.52655792236328
2015-02-12,97.37207794189453,88.16999053955078,94.82246398925781,15.302420616149902,117.33999633789062,172.57066345214844,83.39358520507812
2015-02-13,98.20802307128906,88.17801666259766,93.8487548828125,15.47150707244873,117.9800033569336,173.28103637695312,83.2236557006836
2015-02-17,98.29986572265625,88.18594360351562,92.43575286865234,15.479963302612305,116.01000213623047,173.55357360839844,82.80259704589844
2015-02-18,98.43768310546875,88.19398498535156,92.98490142822266,15.293967247009277,116.33999633789062,173.57015991210938,83.14982604980469
2015-02-19,98.92452239990234,88.19398498535156,92.36988067626953,15.243240356445312,115.94000244140625,173.44622802734375,83.08333587646484
2015-02-20,99.58592987060547,88.18594360351562,92.64075469970703,15.18405818939209,115.27999877929688,174.4870147705078,83.09072875976562
2015-02-23,99.68697357177734,88.17801666259766,93.70228576660156,15.082606315612793,115.43000030517578,174.462158203125,83.2458267211914
2015-02-24,99.76042938232422,88.17801666259766,94.93229675292969,15.09106159210205,115.26000213623047,174.9578094482422,83.74816131591797
2015-02-25,99.51241302490234,88.17801666259766,95.34222412109375,15.319330215454102,115.69999694824219,174.80909729003906,83.88850402832031
2015-02-26,100.01765441894531,88.17801666259766,94.03909301757812,15.192512512207031,116.06999969482422,174.6026153564453,83.82945251464844
2015-02-27,99.57675170898438,88.18594360351562,94.82975006103516,15.361601829528809,116.16000366210938,174.00787353515625,84.31698608398438
2015-03-02,100.47697448730469,88.17801666259766,93.06342315673828,15.1417875289917,115.68000030517578,175.1064453125,83.62996673583984
2015-03-03,100.0084457397461,88.16999053955078,92.7259750366211,15.234786033630371,115.47000122070312,174.38790893554688,83.74816131591797
2015-03-04,99.6226577758789,88.18594360351562,92.75536346435547,15.099516868591309,115.11000061035156,173.65269470214844,83.82945251464844
2015-03-05,99.79719543457031,88.16999053955078,92.63794708251953,15.040335655212402,115.0,173.84268188476562,83.68167114257812
2015-03-06,98.66730499267578,88.17801666259766,90.59138488769531,14.854337692260742,111.86000061035156,171.39767456054688,82.71398162841797
2015-03-09,98.95205688476562,88.16999053955078,91.42762756347656,14.812068939208984,111.97000122070312,172.1081085205078,82.58839416503906
2015-03-10,97.11485290527344,88.17801666259766,92.63060760498047,14.617615699768066,111.41999816894531,169.3161163330078,82.68441009521484
2015-03-11,96.55451202392578,88.16999053955078,93.30546569824219,14.693705558776855,110.75,168.9196319580078,82.82479095458984
2015-03-12,97.1883773803711,88.16999053955078,93.23945617675781,14.626070022583008,110.72000122070312,171.06729125976562,82.64008331298828
2015-03-13,96.76579284667969,88.17801666259766,92.9533920288086,14.330166816711426,110.87999725341797,170.01824951171875,82.37415313720703
2015-03-16,98.01509857177734,88.17801666259766,93.84832763671875,14.313260078430176,110.80999755859375,172.289794921875,82.49235534667969
2015-03-17,98.1712646484375,88.16999053955078,94.62581634521484,14.211806297302246,110.20999908447266,171.77769470214844,82.57357025146484
2015-03-18,99.13581085205078,88.16199493408203,96.45240020751953,14.600707054138184,112.37000274658203,173.84268188476562,83.83684539794922
2015-03-19,99.28277587890625,88.16999053955078,95.96089935302734,14.35552978515625,112.29000091552734,173.0496826171875,83.78507995605469
2015-03-20,99.92542266845703,88.16999053955078,96.4670181274414,14.549981117248535,113.56999969482422,174.5771942138672,84.0362777709961
